chest,lu,lf,ru,rf,pelvis,lt,lc,rt,rc
0.109#0.781#0.153#0.595,-0.521#0.661#0.54#-0.004,-0.016#0.473#0.844#-0.253,0.091#0.499#0.695#0.51,-0.419#-0.138#0.831#0.339,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.109#0.781#0.153#0.595,-0.521#0.661#0.54#-0.004,-0.016#0.473#0.844#-0.253,0.091#0.499#0.695#0.51,-0.419#-0.138#0.831#0.339,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.109#0.781#0.153#0.595,-0.521#0.661#0.54#-0.004,-0.03#0.479#0.845#-0.235,0.091#0.499#0.695#0.51,-0.419#-0.138#0.831#0.339,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.109#0.781#0.153#0.595,-0.521#0.661#0.54#-0.004,-0.03#0.479#0.845#-0.235,0.079#0.492#0.691#0.523,-0.419#-0.138#0.831#0.339,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.109#0.781#0.153#0.595,-0.525#0.663#0.534#0.005,-0.03#0.479#0.845#-0.235,0.079#0.492#0.691#0.523,-0.419#-0.138#0.831#0.339,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.109#0.781#0.153#0.595,-0.525#0.663#0.534#0.005,-0.03#0.479#0.845#-0.235,0.079#0.492#0.691#0.523,-0.419#-0.138#0.831#0.339,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.11#0.776#0.151#0.602,-0.525#0.663#0.534#0.005,-0.03#0.479#0.845#-0.235,0.079#0.492#0.691#0.523,-0.433#-0.129#0.824#0.343,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.11#0.776#0.151#0.602,-0.525#0.663#0.534#0.005,-0.045#0.484#0.847#-0.215,0.079#0.492#0.691#0.523,-0.433#-0.129#0.824#0.343,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.11#0.776#0.151#0.602,-0.525#0.663#0.534#0.005,-0.045#0.484#0.847#-0.215,0.079#0.492#0.691#0.523,-0.433#-0.129#0.824#0.343,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.11#0.776#0.151#0.602,-0.525#0.663#0.534#0.005,-0.045#0.484#0.847#-0.215,0.071#0.486#0.687#0.536,-0.433#-0.129#0.824#0.343,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.11#0.776#0.151#0.602,-0.524#0.665#0.531#0.012,-0.045#0.484#0.847#-0.215,0.071#0.486#0.687#0.536,-0.433#-0.129#0.824#0.343,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.11#0.776#0.151#0.602,-0.524#0.665#0.531#0.012,-0.045#0.484#0.847#-0.215,0.071#0.486#0.687#0.536,-0.44#-0.119#0.818#0.35,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.113#0.771#0.149#0.609,-0.524#0.665#0.531#0.012,-0.045#0.484#0.847#-0.215,0.071#0.486#0.687#0.536,-0.44#-0.119#0.818#0.35,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.113#0.771#0.149#0.609,-0.524#0.665#0.531#0.012,-0.054#0.489#0.848#-0.196,0.071#0.486#0.687#0.536,-0.44#-0.119#0.818#0.35,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.113#0.771#0.149#0.609,-0.524#0.665#0.531#0.012,-0.054#0.489#0.848#-0.196,0.064#0.482#0.679#0.55,-0.44#-0.119#0.818#0.35,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.113#0.771#0.149#0.609,-0.524#0.665#0.531#0.012,-0.054#0.489#0.848#-0.196,0.064#0.482#0.679#0.55,-0.44#-0.119#0.818#0.35,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.113#0.771#0.149#0.609,-0.52#0.67#0.529#0.018,-0.054#0.489#0.848#-0.196,0.064#0.482#0.679#0.55,-0.44#-0.119#0.818#0.35,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.12#0.765#0.146#0.616,-0.52#0.67#0.529#0.018,-0.054#0.489#0.848#-0.196,0.064#0.482#0.679#0.55,-0.457#-0.105#0.81#0.352,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.12#0.765#0.146#0.616,-0.52#0.67#0.529#0.018,-0.067#0.495#0.848#-0.175,0.064#0.482#0.679#0.55,-0.457#-0.105#0.81#0.352,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.12#0.765#0.146#0.616,-0.52#0.67#0.529#0.018,-0.067#0.495#0.848#-0.175,0.064#0.482#0.679#0.55,-0.457#-0.105#0.81#0.352,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.12#0.765#0.146#0.616,-0.52#0.67#0.529#0.018,-0.067#0.495#0.848#-0.175,0.053#0.477#0.672#0.564,-0.457#-0.105#0.81#0.352,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.12#0.765#0.146#0.616,-0.508#0.682#0.525#0.027,-0.067#0.495#0.848#-0.175,0.053#0.477#0.672#0.564,-0.457#-0.105#0.81#0.352,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.12#0.765#0.146#0.616,-0.508#0.682#0.525#0.027,-0.067#0.495#0.848#-0.175,0.053#0.477#0.672#0.564,-0.475#-0.087#0.801#0.353,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.13#0.755#0.138#0.628,-0.508#0.682#0.525#0.027,-0.067#0.495#0.848#-0.175,0.053#0.477#0.672#0.564,-0.475#-0.087#0.801#0.353,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.13#0.755#0.138#0.628,-0.508#0.682#0.525#0.027,-0.076#0.506#0.848#-0.14,0.053#0.477#0.672#0.564,-0.475#-0.087#0.801#0.353,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.13#0.755#0.138#0.628,-0.508#0.682#0.525#0.027,-0.076#0.506#0.848#-0.14,0.053#0.477#0.672#0.564,-0.475#-0.087#0.801#0.353,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.13#0.755#0.138#0.628,-0.508#0.682#0.525#0.027,-0.076#0.506#0.848#-0.14,0.029#0.473#0.657#0.586,-0.475#-0.087#0.801#0.353,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.13#0.755#0.138#0.628,-0.486#0.704#0.517#0.046,-0.076#0.506#0.848#-0.14,0.029#0.473#0.657#0.586,-0.475#-0.087#0.801#0.353,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.13#0.755#0.138#0.628,-0.486#0.704#0.517#0.046,-0.076#0.506#0.848#-0.14,0.029#0.473#0.657#0.586,-0.511#-0.05#0.786#0.345,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.144#0.739#0.131#0.645,-0.486#0.704#0.517#0.046,-0.076#0.506#0.848#-0.14,0.029#0.473#0.657#0.586,-0.511#-0.05#0.786#0.345,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.144#0.739#0.131#0.645,-0.486#0.704#0.517#0.046,-0.091#0.531#0.838#-0.09,0.029#0.473#0.657#0.586,-0.511#-0.05#0.786#0.345,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.144#0.739#0.131#0.645,-0.486#0.704#0.517#0.046,-0.091#0.531#0.838#-0.09,-0.005#0.461#0.633#0.622,-0.511#-0.05#0.786#0.345,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.144#0.739#0.131#0.645,-0.486#0.704#0.517#0.046,-0.091#0.531#0.838#-0.09,-0.005#0.461#0.633#0.622,-0.511#-0.05#0.786#0.345,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.144#0.739#0.131#0.645,-0.451#0.734#0.5#0.088,-0.091#0.531#0.838#-0.09,-0.005#0.461#0.633#0.622,-0.511#-0.05#0.786#0.345,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.167#0.712#0.119#0.671,-0.451#0.734#0.5#0.088,-0.091#0.531#0.838#-0.09,-0.005#0.461#0.633#0.622,-0.555#0.003#0.756#0.349,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.167#0.712#0.119#0.671,-0.451#0.734#0.5#0.088,-0.091#0.531#0.838#-0.09,-0.005#0.461#0.633#0.622,-0.555#0.003#0.756#0.349,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.167#0.712#0.119#0.671,-0.451#0.734#0.5#0.088,-0.111#0.576#0.81#-0.007,-0.005#0.461#0.633#0.622,-0.555#0.003#0.756#0.349,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.167#0.712#0.119#0.671,-0.451#0.734#0.5#0.088,-0.111#0.576#0.81#-0.007,-0.048#0.444#0.587#0.676,-0.555#0.003#0.756#0.349,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.167#0.712#0.119#0.671,-0.405#0.771#0.467#0.154,-0.111#0.576#0.81#-0.007,-0.048#0.444#0.587#0.676,-0.555#0.003#0.756#0.349,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.167#0.712#0.119#0.671,-0.405#0.771#0.467#0.154,-0.111#0.576#0.81#-0.007,-0.048#0.444#0.587#0.676,-0.599#0.091#0.698#0.38,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.19#0.67#0.103#0.711,-0.405#0.771#0.467#0.154,-0.111#0.576#0.81#-0.007,-0.048#0.444#0.587#0.676,-0.599#0.091#0.698#0.38,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.19#0.67#0.103#0.711,-0.405#0.771#0.467#0.154,-0.117#0.632#0.753#0.139,-0.048#0.444#0.587#0.676,-0.599#0.091#0.698#0.38,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.19#0.67#0.103#0.711,-0.405#0.771#0.467#0.154,-0.117#0.632#0.753#0.139,-0.048#0.444#0.587#0.676,-0.599#0.091#0.698#0.38,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.19#0.67#0.103#0.711,-0.405#0.771#0.467#0.154,-0.117#0.632#0.753#0.139,-0.085#0.415#0.512#0.747,-0.599#0.091#0.698#0.38,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.19#0.67#0.103#0.711,-0.346#0.795#0.431#0.252,-0.117#0.632#0.753#0.139,-0.085#0.415#0.512#0.747,-0.599#0.091#0.698#0.38,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.211#0.606#0.084#0.763,-0.346#0.795#0.431#0.252,-0.117#0.632#0.753#0.139,-0.085#0.415#0.512#0.747,-0.613#0.192#0.594#0.484,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.211#0.606#0.084#0.763,-0.346#0.795#0.431#0.252,-0.117#0.632#0.753#0.139,-0.085#0.415#0.512#0.747,-0.613#0.192#0.594#0.484,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.211#0.606#0.084#0.763,-0.346#0.795#0.431#0.252,-0.123#0.661#0.658#0.34,-0.085#0.415#0.512#0.747,-0.613#0.192#0.594#0.484,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.211#0.606#0.084#0.763,-0.346#0.795#0.431#0.252,-0.123#0.661#0.658#0.34,-0.113#0.354#0.413#0.832,-0.613#0.192#0.594#0.484,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.211#0.606#0.084#0.763,-0.346#0.795#0.431#0.252,-0.123#0.661#0.658#0.34,-0.113#0.354#0.413#0.832,-0.613#0.192#0.594#0.484,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.211#0.606#0.084#0.763,-0.281#0.817#0.367#0.345,-0.123#0.661#0.658#0.34,-0.113#0.354#0.413#0.832,-0.613#0.192#0.594#0.484,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.218#0.523#0.055#0.822,-0.281#0.817#0.367#0.345,-0.123#0.661#0.658#0.34,-0.113#0.354#0.413#0.832,-0.591#0.245#0.429#0.638,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.218#0.523#0.055#0.822,-0.281#0.817#0.367#0.345,-0.137#0.663#0.523#0.517,-0.113#0.354#0.413#0.832,-0.591#0.245#0.429#0.638,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.218#0.523#0.055#0.822,-0.281#0.817#0.367#0.345,-0.137#0.663#0.523#0.517,-0.113#0.354#0.413#0.832,-0.591#0.245#0.429#0.638,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.218#0.523#0.055#0.822,-0.281#0.817#0.367#0.345,-0.137#0.663#0.523#0.517,-0.157#0.263#0.298#0.904,-0.591#0.245#0.429#0.638,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.218#0.523#0.055#0.822,-0.224#0.838#0.268#0.419,-0.137#0.663#0.523#0.517,-0.157#0.263#0.298#0.904,-0.591#0.245#0.429#0.638,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.218#0.523#0.055#0.822,-0.224#0.838#0.268#0.419,-0.137#0.663#0.523#0.517,-0.157#0.263#0.298#0.904,-0.531#0.223#0.244#0.781,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.228#0.417#0.004#0.88,-0.224#0.838#0.268#0.419,-0.137#0.663#0.523#0.517,-0.157#0.263#0.298#0.904,-0.531#0.223#0.244#0.781,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.228#0.417#0.004#0.88,-0.224#0.838#0.268#0.419,-0.141#0.639#0.363#0.664,-0.157#0.263#0.298#0.904,-0.531#0.223#0.244#0.781,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.228#0.417#0.004#0.88,-0.224#0.838#0.268#0.419,-0.141#0.639#0.363#0.664,-0.203#0.112#0.181#0.956,-0.531#0.223#0.244#0.781,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.228#0.417#0.004#0.88,-0.224#0.838#0.268#0.419,-0.141#0.639#0.363#0.664,-0.203#0.112#0.181#0.956,-0.531#0.223#0.244#0.781,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.228#0.417#0.004#0.88,-0.156#0.825#0.167#0.516,-0.141#0.639#0.363#0.664,-0.203#0.112#0.181#0.956,-0.531#0.223#0.244#0.781,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.25#0.311#-0.027#0.917,-0.156#0.825#0.167#0.516,-0.141#0.639#0.363#0.664,-0.203#0.112#0.181#0.956,-0.502#0.097#0.114#0.852,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.25#0.311#-0.027#0.917,-0.156#0.825#0.167#0.516,-0.141#0.639#0.363#0.664,-0.203#0.112#0.181#0.956,-0.502#0.097#0.114#0.852,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.25#0.311#-0.027#0.917,-0.156#0.825#0.167#0.516,-0.147#0.576#0.209#0.776,-0.203#0.112#0.181#0.956,-0.502#0.097#0.114#0.852,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.25#0.311#-0.027#0.917,-0.156#0.825#0.167#0.516,-0.147#0.576#0.209#0.776,-0.253#-0.075#0.046#0.964,-0.502#0.097#0.114#0.852,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.25#0.311#-0.027#0.917,-0.099#0.752#0.019#0.651,-0.147#0.576#0.209#0.776,-0.253#-0.075#0.046#0.964,-0.502#0.097#0.114#0.852,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.247#0.165#-0.052#0.953,-0.099#0.752#0.019#0.651,-0.147#0.576#0.209#0.776,-0.253#-0.075#0.046#0.964,-0.54#-0.067#0.002#0.839,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.247#0.165#-0.052#0.953,-0.099#0.752#0.019#0.651,-0.147#0.576#0.209#0.776,-0.253#-0.075#0.046#0.964,-0.54#-0.067#0.002#0.839,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.247#0.165#-0.052#0.953,-0.099#0.752#0.019#0.651,-0.202#0.472#0.121#0.85,-0.253#-0.075#0.046#0.964,-0.54#-0.067#0.002#0.839,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.247#0.165#-0.052#0.953,-0.099#0.752#0.019#0.651,-0.202#0.472#0.121#0.85,-0.328#-0.253#-0.062#0.908,-0.54#-0.067#0.002#0.839,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.247#0.165#-0.052#0.953,-0.099#0.752#0.019#0.651,-0.202#0.472#0.121#0.85,-0.328#-0.253#-0.062#0.908,-0.54#-0.067#0.002#0.839,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.247#0.165#-0.052#0.953,-0.104#0.619#-0.116#0.77,-0.202#0.472#0.121#0.85,-0.328#-0.253#-0.062#0.908,-0.612#-0.218#-0.118#0.751,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.202#0.001#-0.055#0.978,-0.104#0.619#-0.116#0.77,-0.202#0.472#0.121#0.85,-0.328#-0.253#-0.062#0.908,-0.612#-0.218#-0.118#0.751,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.202#0.001#-0.055#0.978,-0.104#0.619#-0.116#0.77,-0.346#0.33#0.078#0.875,-0.328#-0.253#-0.062#0.908,-0.612#-0.218#-0.118#0.751,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.202#0.001#-0.055#0.978,-0.104#0.619#-0.116#0.77,-0.346#0.33#0.078#0.875,-0.328#-0.253#-0.062#0.908,-0.612#-0.218#-0.118#0.751,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.202#0.001#-0.055#0.978,-0.104#0.619#-0.116#0.77,-0.346#0.33#0.078#0.875,-0.421#-0.397#-0.117#0.807,-0.612#-0.218#-0.118#0.751,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.202#0.001#-0.055#0.978,-0.153#0.458#-0.221#0.847,-0.346#0.33#0.078#0.875,-0.421#-0.397#-0.117#0.807,-0.612#-0.218#-0.118#0.751,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.202#0.001#-0.055#0.978,-0.153#0.458#-0.221#0.847,-0.346#0.33#0.078#0.875,-0.421#-0.397#-0.117#0.807,-0.669#-0.402#-0.195#0.595,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.127#-0.169#-0.039#0.977,-0.153#0.458#-0.221#0.847,-0.346#0.33#0.078#0.875,-0.421#-0.397#-0.117#0.807,-0.669#-0.402#-0.195#0.595,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.127#-0.169#-0.039#0.977,-0.153#0.458#-0.221#0.847,-0.511#0.241#0.01#0.825,-0.421#-0.397#-0.117#0.807,-0.669#-0.402#-0.195#0.595,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.127#-0.169#-0.039#0.977,-0.153#0.458#-0.221#0.847,-0.511#0.241#0.01#0.825,-0.526#-0.481#-0.164#0.681,-0.669#-0.402#-0.195#0.595,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.127#-0.169#-0.039#0.977,-0.153#0.458#-0.221#0.847,-0.511#0.241#0.01#0.825,-0.526#-0.481#-0.164#0.681,-0.669#-0.402#-0.195#0.595,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.127#-0.169#-0.039#0.977,-0.211#0.263#-0.314#0.888,-0.511#0.241#0.01#0.825,-0.526#-0.481#-0.164#0.681,-0.677#-0.514#-0.306#0.429,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.029#-0.334#-0.028#0.942,-0.211#0.263#-0.314#0.888,-0.648#0.213#-0.111#0.723,-0.526#-0.481#-0.164#0.681,-0.677#-0.514#-0.306#0.429,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.029#-0.334#-0.028#0.942,-0.211#0.263#-0.314#0.888,-0.648#0.213#-0.111#0.723,-0.603#-0.539#-0.228#0.543,-0.677#-0.514#-0.306#0.429,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.029#-0.334#-0.028#0.942,-0.235#0.074#-0.415#0.876,-0.648#0.213#-0.111#0.723,-0.603#-0.539#-0.228#0.543,-0.677#-0.514#-0.306#0.429,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.029#-0.334#-0.028#0.942,-0.235#0.074#-0.415#0.876,-0.648#0.213#-0.111#0.723,-0.603#-0.539#-0.228#0.543,-0.677#-0.514#-0.306#0.429,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.057#-0.477#-0.033#0.876,-0.235#0.074#-0.415#0.876,-0.648#0.213#-0.111#0.723,-0.603#-0.539#-0.228#0.543,-0.615#-0.566#-0.472#0.281,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.057#-0.477#-0.033#0.876,-0.235#0.074#-0.415#0.876,-0.726#0.212#-0.282#0.59,-0.603#-0.539#-0.228#0.543,-0.615#-0.566#-0.472#0.281,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.057#-0.477#-0.033#0.876,-0.235#0.074#-0.415#0.876,-0.726#0.212#-0.282#0.59,-0.603#-0.539#-0.228#0.543,-0.615#-0.566#-0.472#0.281,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.057#-0.477#-0.033#0.876,-0.235#0.074#-0.415#0.876,-0.726#0.212#-0.282#0.59,-0.646#-0.585#-0.298#0.39,-0.615#-0.566#-0.472#0.281,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.057#-0.477#-0.033#0.876,-0.192#-0.129#-0.501#0.834,-0.726#0.212#-0.282#0.59,-0.646#-0.585#-0.298#0.39,-0.615#-0.566#-0.472#0.281,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.077#-0.579#-0.039#0.811,-0.192#-0.129#-0.501#0.834,-0.726#0.212#-0.282#0.59,-0.646#-0.585#-0.298#0.39,-0.511#-0.595#-0.61#0.115,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.077#-0.579#-0.039#0.811,-0.192#-0.129#-0.501#0.834,-0.726#0.212#-0.282#0.59,-0.646#-0.585#-0.298#0.39,-0.511#-0.595#-0.61#0.115,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.077#-0.579#-0.039#0.811,-0.192#-0.129#-0.501#0.834,-0.754#0.195#-0.44#0.447,-0.646#-0.585#-0.298#0.39,-0.511#-0.595#-0.61#0.115,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.077#-0.579#-0.039#0.811,-0.192#-0.129#-0.501#0.834,-0.754#0.195#-0.44#0.447,-0.67#-0.607#-0.353#0.24,-0.511#-0.595#-0.61#0.115,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.077#-0.579#-0.039#0.811,-0.192#-0.129#-0.501#0.834,-0.754#0.195#-0.44#0.447,-0.67#-0.607#-0.353#0.24,-0.511#-0.595#-0.61#0.115,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.077#-0.579#-0.039#0.811,-0.163#-0.383#-0.546#0.728,-0.754#0.195#-0.44#0.447,-0.67#-0.607#-0.353#0.24,-0.511#-0.595#-0.61#0.115,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.087#-0.645#-0.041#0.758,-0.163#-0.383#-0.546#0.728,-0.754#0.195#-0.44#0.447,-0.67#-0.607#-0.353#0.24,-0.394#-0.599#-0.693#-0.081,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.087#-0.645#-0.041#0.758,-0.163#-0.383#-0.546#0.728,-0.718#0.194#-0.592#0.311,-0.67#-0.607#-0.353#0.24,-0.394#-0.599#-0.693#-0.081,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.087#-0.645#-0.041#0.758,-0.163#-0.383#-0.546#0.728,-0.718#0.194#-0.592#0.311,-0.67#-0.607#-0.353#0.24,-0.394#-0.599#-0.693#-0.081,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.087#-0.645#-0.041#0.758,-0.163#-0.383#-0.546#0.728,-0.718#0.194#-0.592#0.311,-0.66#-0.632#-0.389#0.115,-0.394#-0.599#-0.693#-0.081,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.087#-0.645#-0.041#0.758,-0.116#-0.557#-0.584#0.579,-0.718#0.194#-0.592#0.311,-0.66#-0.632#-0.389#0.115,-0.394#-0.599#-0.693#-0.081,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.087#-0.645#-0.041#0.758,-0.116#-0.557#-0.584#0.579,-0.718#0.194#-0.592#0.311,-0.66#-0.632#-0.389#0.115,-0.294#-0.577#-0.714#-0.267,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.085#-0.691#-0.041#0.717,-0.116#-0.557#-0.584#0.579,-0.718#0.194#-0.592#0.311,-0.66#-0.632#-0.389#0.115,-0.294#-0.577#-0.714#-0.267,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.085#-0.691#-0.041#0.717,-0.116#-0.557#-0.584#0.579,-0.627#0.231#-0.701#0.249,-0.66#-0.632#-0.389#0.115,-0.294#-0.577#-0.714#-0.267,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.085#-0.691#-0.041#0.717,-0.116#-0.557#-0.584#0.579,-0.627#0.231#-0.701#0.249,-0.649#-0.658#-0.382#0.017,-0.294#-0.577#-0.714#-0.267,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.085#-0.691#-0.041#0.717,-0.116#-0.557#-0.584#0.579,-0.627#0.231#-0.701#0.249,-0.649#-0.658#-0.382#0.017,-0.294#-0.577#-0.714#-0.267,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
